name,max_completion_tokens,context_length,pricing_prompt,pricing_completion,p50_throughput,p50_latency
Nineteen | meta-llama/llama-3.2-3b-instruct,20000.0,20000,0.000000003,0.000000006,335.937,440
DeepInfra | meta-llama/llama-3.2-3b-instruct,16384.0,131072,0.000000003,0.000000006,160.127,174
Lambda | meta-llama/llama-3.2-3b-instruct,131072.0,131072,0.000000015,0.000000025,245.121,273
InferenceNet | meta-llama/llama-3.2-3b-instruct,16384.0,16384,0.00000002,0.00000002,105.954,797.5
Novita | meta-llama/llama-3.2-3b-instruct,32000.0,32768,0.00000003,0.00000005,55.5975,539
Cloudflare | meta-llama/llama-3.2-3b-instruct,,128000,0.000000051,0.00000034,N/A,N/A
Together | meta-llama/llama-3.2-3b-instruct,16384.0,131072,0.00000006,0.00000006,N/A,N/A
Hyperbolic | meta-llama/llama-3.2-3b-instruct,,131072,0.0000001,0.0000001,N/A,N/A
