name,max_completion_tokens,context_length,pricing_prompt,pricing_completion,p50_throughput,p50_latency
DeepInfra | qwen/qwen-2.5-7b-instruct,16384.0,32768,0.00000004,0.0000001,56.0535,252
Phala | qwen/qwen-2.5-7b-instruct,,32768,0.00000004,0.0000001,89.3375,528
Together | qwen/qwen-2.5-7b-instruct,2048.0,32768,0.0000003,0.0000003,165.649,264
