name,max_completion_tokens,context_length,pricing_prompt,pricing_completion,p50_throughput,p50_latency
DeepInfra | qwen/qwen-2.5-coder-32b-instruct,16384.0,32768,0.00000006,0.00000015,54.2395,198
Nebius | qwen/qwen-2.5-coder-32b-instruct,,131072,0.00000006,0.00000018,67.9885,348
Lambda | qwen/qwen-2.5-coder-32b-instruct,32768.0,32768,0.00000007,0.00000016,45.67,288
Hyperbolic | qwen/qwen-2.5-coder-32b-instruct,8192.0,32768,0.0000002,0.0000002,59.6775,1054
Cloudflare | qwen/qwen-2.5-coder-32b-instruct,,32768,0.00000066,0.000001,N/A,N/A
Together | qwen/qwen-2.5-coder-32b-instruct,2048.0,32768,0.0000008,0.0000008,N/A,N/A
Featherless | qwen/qwen-2.5-coder-32b-instruct,4096.0,16384,0.0000026,0.0000034,N/A,N/A
