name,max_completion_tokens,context_length,pricing_prompt,pricing_completion,p50_throughput,p50_latency
Nebius | qwen/qwen2.5-vl-72b-instruct,,32000,0.00000025,0.00000075,17.9245,1293.0
Hyperbolic | qwen/qwen2.5-vl-72b-instruct,,32768,0.0000006,0.0000006,32.665,2519.5
Parasail | qwen/qwen2.5-vl-72b-instruct,128000.0,128000,0.0000007,0.0000007,40.151,1331.5
Novita | qwen/qwen2.5-vl-72b-instruct,32768.0,32768,0.0000008,0.0000008,24.896,2395.0
Together | qwen/qwen2.5-vl-72b-instruct,,32768,0.00000195,0.000008,39.448,1116.5
