name,max_completion_tokens,context_length,pricing_prompt,pricing_completion,p50_throughput,p50_latency
DeepInfra | qwen/qwen3-235b-a22b-04-28,40960.0,40960,0.00000013,0.0000006,13.376,1509.0
Parasail | qwen/qwen3-235b-a22b-04-28,40960.0,40960,0.00000013,0.00000085,69.6465,1031.0
Kluster | qwen/qwen3-235b-a22b-04-28,40960.0,40960,0.00000013,0.000002,24.462,1562.0
GMICloud | qwen/qwen3-235b-a22b-04-28,,32768,0.00000017,0.00000109,65.863,840.0
Together | qwen/qwen3-235b-a22b-04-28,,40960,0.0000002,0.0000006,37.393,680.0
Nebius | qwen/qwen3-235b-a22b-04-28,,40960,0.0000002,0.0000006,44.8145,611.5
Novita | qwen/qwen3-235b-a22b-04-28,20000.0,40960,0.0000002,0.0000008,14.946,1366.0
Fireworks | qwen/qwen3-235b-a22b-04-28,,128000,0.00000022,0.00000088,95.997,882.0
