name,max_completion_tokens,context_length,pricing_prompt,pricing_completion,p50_throughput,p50_latency
Crusoe | meta-llama/llama-3.3-70b-instruct,8192.0,131072,0.000000039,0.00000012,12.615,2669
Kluster | meta-llama/llama-3.3-70b-instruct,131000.0,131000,0.00000005,0.00000017,25.325,692
DeepInfra | meta-llama/llama-3.3-70b-instruct,16384.0,131072,0.00000005,0.00000017,35.294,171
Lambda | meta-llama/llama-3.3-70b-instruct,131072.0,131072,0.00000012,0.0000003,60.029,323
Phala | meta-llama/llama-3.3-70b-instruct,,131072,0.00000012,0.00000035,34.9975,571
Novita | meta-llama/llama-3.3-70b-instruct,120000.0,131072,0.00000013,0.00000039,45.367,693
Nebius | meta-llama/llama-3.3-70b-instruct,,131072,0.00000013,0.0000004,39.5495,596
DeepInfra | meta-llama/llama-3.3-70b-instruct,,131072,0.00000023,0.0000004,35.549,545
NextBit | meta-llama/llama-3.3-70b-instruct,,32768,0.00000028,0.00000075,19.854,3149
Parasail | meta-llama/llama-3.3-70b-instruct,131072.0,131072,0.00000028,0.00000078,73.822,483
Cloudflare | meta-llama/llama-3.3-70b-instruct,,24000,0.00000029,0.00000225,35.354,457
Hyperbolic | meta-llama/llama-3.3-70b-instruct,,131072,0.0000004,0.0000004,38.2575,1156
Groq | meta-llama/llama-3.3-70b-instruct,32768.0,131072,0.00000059,0.00000079,411.184,175
Friendli | meta-llama/llama-3.3-70b-instruct,131072.0,131072,0.0000006,0.0000006,113.006,767
SambaNova | meta-llama/llama-3.3-70b-instruct,3072.0,131072,0.0000006,0.0000012,281.791,556
Google | meta-llama/llama-3.3-70b-instruct,,128000,0.00000072,0.00000072,N/A,N/A
Cerebras | meta-llama/llama-3.3-70b-instruct,32000.0,32000,0.00000085,0.0000012,3142.857,172
Together | meta-llama/llama-3.3-70b-instruct,2048.0,131072,0.00000088,0.00000088,73.455,605
Fireworks | meta-llama/llama-3.3-70b-instruct,,131072,0.0000009,0.0000009,145.695,466
InferenceNet | meta-llama/llama-3.3-70b-instruct,16384.0,128000,0.0000001,0.00000025,N/A,N/A
