name,max_completion_tokens,context_length,pricing_prompt,pricing_completion,p50_throughput,p50_latency
Novita | deepseek/deepseek-r1-distill-qwen-14b,32000.0,64000,0.00000015,0.00000015,39.763,906
GMICloud | deepseek/deepseek-r1-distill-qwen-14b,,131072,0.0000002,0.0000002,N/A,N/A
Together | deepseek/deepseek-r1-distill-qwen-14b,32768.0,131072,0.0000016,0.0000016,140.523,340
